sort,species,replicate,use,type,branch,length_mm,stem_weight_mg*10,leaf_count,count_per_stem_length,diameter_base,diameter_top,notes,percent_shed,tip_weight_mg*10,leaf_weight_mg*10,image_file,total_leaf_area,area_per_leaf,area_per_stem_length
365,PUTU,C,no,,2,81,,40,0.49382716,146,118,up%shed; BEFORE 20-25% 20-25% SHED,,,1138,PUTU-C-2.jpg,8.225,0.206,0.13
366,PUTU,C,yes,,2.1,60,,74,1.233333333,92,67, ,,,899,PUTU-C-2-1.jpg,9.115,0.123,0.15
368,PUTU,C,yes,,2.3,47,,50,1.063829787,96,41, ,,,702,PUTU-C-2-3.jpg,6.732,0.135,0.14
369,PUTU,C,no,,3,58,,55,0.948275862,125,197,up%shed ,,,952,PUTU-C-3.jpg,8.66,0.157,0.17
370,PUTU,C,yes,,4,32,,35,1.09375,118,93, ,,,401,PUTU-C-4.jpg,4.277,0.122,0.13
367,PUTU,C,yes,,2.2(2),54,,67,1.240740741,109,44, ,,,772,PUTU-C-2-2.jpg,7.595,0.113,0.15
372,PUTU,D,yes,,1.1,28,,43,1.535714286,130,117, ,,,696,PUTU-D-1-1.jpg,4.95,0.115,0.18
373,PUTU,D,no,,2.1,36,,20,0.555555556,132,103,20% SHED AT FIRST; NOW  UP%SHED 20% SHED,,,252,PUTU-D-2-1.jpg,1.831,0.092,0.08
376,PUTU,D,no,,3,70,,40,0.571428571,195,167,up%shed 25% SHED,,,941,PUTU-D-3.jpg,5.709,0.143,0.1
377,PUTU,D,yes,,3.1,54,,86,1.592592593,87,64, ,,,794,PUTU-D-3-1.jpg,6.611,0.077,0.14
378,PUTU,D,yes,,3.2,74,,99,1.337837838,94,83, ,,,1128,PUTU-D-3-2.jpg,8.872,0.09,0.14
379,PUTU,D,yes,,3.5,80,,101,1.2625,96,79, ,,,1142,PUTU-D-3-5.jpg,8.969,0.089,0.12
380,PUTU,D,yes,,3.6,58,,94,1.620689655,106,74, ,,,1011,PUTU-D-3-6.jpg,8.228,0.088,0.14
374,PUTU,D,yes,,2.1.1,92,,125,1.358695652,102,87, ,,,1600,PUTU-D-2-1-1.jpg,12.85,0.103,0.15
375,PUTU,D,yes,,2.1.2,53,,99,1.867924528,82,78, ,,,1091,PUTU-D-2-1-2.jpg,9.383,0.095,0.19
384,PUTU,E,yes,,1.1,55,,63,1.145454545,92,72, ,,,704,PUTU-E-1-1.jpg,7.512,0.119,0.17
385,PUTU,E,yes,,1.2,43,,68,1.581395349,105,74, ,,,1014,PUTU-E-1-2.jpg,11.264,0.166,0.25
386,PUTU,E,yes,,1.3,48,,68,1.416666667,87,61, ,,,931,PUTU-E-1-3.jpg,10.223,0.15,0.21
387,PUTU,E,yes,,1.4,35,,43,1.228571429,126,118,IN 2 PIECES ,,,725,PUTU-E-1-4.jpg,7.093,0.165,0.2
389,PUTU,E,no,,2.1,70,,78,1.114285714,92,88,up%shed ,,,1216,PUTU-E-2-1.jpg,12.829,0.164,0.21
390,PUTU,E,yes,,2.3,45,,66,1.466666667,8977,, ,,,900,PUTU-E-2-3.jpg,10.063,0.152,0.22
391,PUTU,E,yes,,3.1,88,,77,0.875,126,108, ,,,1551,PUTU-E-3-1.jpg,15.286,0.199,0.17
393,PUTU,E,yes,,3.2,100,,105,1.05,111,73, ,,,1864,PUTU-E-3-2.jpg,20.939,0.199,0.21
394,PUTU,E,yes,,3.3,81,,63,0.777777778,148,123, ,,,1461,PUTU-E-3-3.jpg,13.237,0.21,0.18
388,PUTU,E,yes,,1.4.1,23,,41,1.782608696,137,112, ,,,616,PUTU-E-1-4-1.jpg,7.758,0.189,0.34
392,PUTU,E,yes,,3.1.1,28,,38,1.357142857,114,90, ,,,609,PUTU-E-3-1-1.jpg,7.506,0.198,0.27
395,PUTU,E,yes,,3.3.1,50,,68,1.36,123,38, ,,,1093,PUTU-E-3-3-1.jpg,13.258,0.195,0.27
955,PUTU,E,no,tip,3.3.1.TIPS,43,,,,,,TIP+2SIDES ,,,,,,,
1000,PEPU,A,yes,,,1,,1,1,1,1,made up number bc PEPU always counts,,,1,,1,1,1
1000,GRSP,,yes,,,282,,108,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,292,,131,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,205,,72,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,110,,37,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,170,,77,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,110,,54,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,122,,51,,,,from specific counts,,,,,,,
1000,GRSP,,yes,,,86,,26,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,1438,,247,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,1025,,148,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,245,,34,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,715,,91,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,682,,104,,,,from specific counts,,,,,,,
