species,individual,seedset,embryo_endo_costs,prop_N_prepollen_success_vs_all_prepollen,prop_N_postpollen_success_vs_all_postpollen,prop_P_prepollen_success_vs_all_prepollen,prop_P_postpollen_success_vs_all_postpollen,N_inv_per_packaging_dispersal_success,N_inv_per_prepollination_success,N_inv_per_propagule,P_inv_per_packaging_dispersal_success,P_inv_per_prepollination_success,P_inv_per_propagule,N_inv_one_successful_unit,N_prop_pollen_attract_vs_success,N_prop_provision_vs_success,P_inv_one_successful_unit,P_prop_pollen_attract_vs_success,P_prop_provision_vs_success
COER,COER_001,0.31851851851851853,0.591804925203252,0.1517562642609564,0.2099061000691135,0.17827365641176512,0.20990610006911353,0.03386028546255507,0.04101850898550725,0.09877707569105693,9.270093428193834e-4,0.0016876686500869567,0.01253370972295935,0.17365587013911923,0.23620571508838997,0.19498497479773594,0.015148387715865689,0.11140912694750836,0.061195247983287265
COER,COER_801,0.22535211267605634,0.591804925203252,0.24786239966242513,0.3283399312000866,0.23051291101141227,0.3283399312000867,0.03386028546255507,0.04101850898550725,0.09877707569105693,9.270093428193834e-4,0.0016876686500869567,0.01253370972295935,0.17365587013911923,0.23620571508838997,0.19498497479773594,0.015148387715865689,0.11140912694750836,0.061195247983287265
COER,COER_803,0.1464968152866242,0.591804925203252,0.1368787317888252,0.48553493355059274,0.1463354255837218,0.43029709239719344,0.03386028546255507,0.04101850898550725,0.09877707569105693,9.270093428193834e-4,0.0016876686500869567,0.01253370972295935,0.17365587013911923,0.23620571508838997,0.19498497479773594,0.015148387715865689,0.11140912694750836,0.061195247983287265
COER,COER_807,0.14285714285714285,0.591804925203252,0.14294175555389577,0.4905445211467064,0.14159801069176617,0.49054452114670655,0.03386028546255507,0.04101850898550725,0.09877707569105693,9.270093428193834e-4,0.0016876686500869567,0.01253370972295935,0.17365587013911923,0.23620571508838997,0.19498497479773594,0.015148387715865689,0.11140912694750836,0.061195247983287265
COER,COER_802,0.06896551724137931,0.591804925203252,0.07848200226149012,0.4024346257993464,0.08306835884867915,0.40243462579934647,0.03386028546255507,0.04101850898550725,0.09877707569105693,9.270093428193834e-4,0.0016876686500869567,0.01253370972295935,0.17365587013911923,0.23620571508838997,0.19498497479773594,0.015148387715865689,0.11140912694750836,0.061195247983287265
COER,COER_806,0.11170212765957446,0.591804925203252,0.08736700103848866,0.5414620242675113,0.0892032730384432,0.5414620242675114,0.03386028546255507,0.04101850898550725,0.09877707569105693,9.270093428193834e-4,0.0016876686500869567,0.01253370972295935,0.17365587013911923,0.23620571508838997,0.19498497479773594,0.015148387715865689,0.11140912694750836,0.061195247983287265
EPMI,EPMI_157,0.07692307692307693,0.01413991930232558,0.11503510440368091,0.04949330020584817,0.03842457470265118,0.013596193646969212,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_152,0.175,0.01413991930232558,0.23311646114494045,0.07792267396268189,0.09076538136491932,0.05391185263293454,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_153,0,0,0,NA,0,NA,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_151,0,0,0,NA,0,NA,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_155,0,0,0,NA,0,NA,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_403,0.6666666666666666,0.01413991930232558,0.5450864966469743,0.06165490790446909,0.4891106359723475,0.038136582766488,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_406,0.2909090909090909,0.01413991930232558,0.4040186319899815,0.0836914434299596,0.20783408599230835,0.08369144342995961,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
EPMI,EPMI_405,0,0,0,NA,0,NA,0.001194162990309183,0.0014435983644588428,3.220793565891473e-4,7.093829847715737e-6,1.5459060006445893e-5,1.913286688372093e-6,0.0029598407113571733,0.4877283966395985,0.4034551540990274,2.4466176542533724e-5,0.6318543471461826,0.28994435789275547
