sample_rep1,sample_rep2,approx_dry_weight_mg_rep1,approx_dry_weight_mg_rep2,species,site,age,individual_rep1,individual_rep2,tissue_complete,tissue_simple,tissue,parts_to_match,live_dead,rep2_replicate,no_sample,CN_analysis_date,Pmicro_analysis_date,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N,notes,with_bark_diam_mm,diameter_temp,without_bark_diam_mm,length_mm,segment,total_leaf_weight_mg,total_segment_weight_mg,total_segment_length_mm,plant_height_mm,height_of_leaf_cover_mm,diameter_leaf_cover_mm_WITH_BARK,,
MQ_092_leaves,,1749.6,,PELA,Basin1981,32,PELA_903,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,150.884,21.812,3753.665,2.373,26.005,2350.826,2241.857,60.167,1780.934,240.226,875.116,17.411,46.81,0.8831,,,,,,,,,,,,,,
MQ_093_senescent leaves,,667.4,,PELA,Waratah2003,9,PELA,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,360.783,13.285,7225.527,1.786,32.898,1460.975,2744.588,89.048,1143.302,66.856,729.261,21.467,47.58,1.048,,,,,,,,,,,,,,
MQ_094_senescent leaves,,250.3,,PELA,Basin1981,32,PELA,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,321.557,24.1,4298.669,2.106,28.209,2328.897,3440.985,37.548,1941.095,39.931,1000.1,38.143,66.73,1.2722,,,,,,,,,,,,,,
MQ_095_leaves,,629,,PEPU,Wilunga2012,1.4,PEPU_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,204.272,12.36,3330.457,4.112,58.444,1894.041,2238.771,80.958,1309.307,230.558,1036.904,58.18,34.95,0.4709,,,,,,,,,,,,,,
MQ_096_leaves,,290.5,,PEPU,Waratah2011,2.4,PEPU_155,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,124.939,111.362,4942.815,2.729,41.778,6236.619,2421.163,374.653,4926.045,171.688,1088.172,61.316,60.49,1.5278,,,,,,,,,,,,,,
MQ_097_leaves,,554.2,,PEPU,Basin2005,7,PEPU_005,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,138.694,20.321,2305.713,3.037,57.427,2123.697,1939.943,51.092,1595.053,208.333,827.194,30.043,68.08,1.7165,,,,,,,,,,,,,,
MQ_098_leaves,,1383.5,,PEPU,Waratah2003,9,PEPU_803,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,258.447,11.202,1827.409,2.908,34.091,2235.54,1687.987,17.27,1708.126,125.497,747.288,14.279,1.04,0.7576,,,,,,,,,,,,,,
MQ_099_leaves,,1288.1,,PEPU,Basin1981,32,PEPU_901,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,115.943,10.741,1385.38,3.288,52.796,2090.033,1615.295,13.834,1498.882,162.77,753.512,15.882,46.58,1.1806,,,,,,,,,,,,,,
MQ_100_senescent leaves,,967.2,,PEPU,Waratah2003,9,PEPU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,420.58,23.587,3302.098,3.687,38.326,733.9,2214.699,11.725,1448.439,23.114,651.179,29.287,43,0.9852,,,,,,,,,,,,,,
MQ_101_senescent leaves,,393.6,,PEPU,Basin1981,32,PEPU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,384.417,16.493,2638.449,4.801,47.865,1136.271,2197.337,18.29,1240.783,21.272,681.088,15.977,67.74,1.326,,,,,,,,,,,,,,
MQ_102_leaves,,420.9,,PHPH,Waratah2011,2.4,PHPH_164,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,25.691,17.642,3065.472,5.643,52.696,2665.182,3683.664,38.495,3097.601,271.444,1371.642,62.903,50.4,0.7361,,,,,,,,,,,,,,
MQ_103_leaves,,297.9,,PHPH,Basin2005,7,PHPH_007,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,27.268,23.204,2301.882,7.322,45.031,3958.757,2500.448,11.171,1359.362,178.428,1134.071,71.535,55,0.8852,,,,,,,,,,,,,,
MQ_104_leaves,,348.8,,PHPH,Waratah2003,9,PHPH_806,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,41.986,36.611,4633.213,3.92,68.611,2394.2,1946.947,15.095,2247.653,208.003,1103.031,49.938,49.62,1.8341,,,,,,,,,,,,,,
MQ_105_leaves,,175,,PHPH,Basin1981,32,PHPH_906,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,40.427,40.014,1819.981,3.449,44.033,2860.724,2508.741,1.289,2085.006,170.666,1205.409,12.101,37.62,1.386,,,,,,,,,,,,,,
MQ_106_senescent leaves,,183.9,,PHPH,Basin2005,7,PHPH,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,76.076,18.824,6626.253,4.275,74.553,1056.534,2335.583,23.549,1554.123,53.164,1294.329,88.761,53.99,1.606,,,,,,,,,,,,,,
MQ_107_senescent leaves,,143.2,,PHPH,Basin1981,32,PHPH,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,75.686,30.206,2852.05,3.042,64.143,1079.448,1309.498,29.014,1697.519,34.343,1314.909,45.584,51.41,1.248,,,,,,,,,,,,,,
MQ_108_leaves,,156.3,,PILI,Wilunga2012,1.4,PILI_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,130.845,24.006,17858.362,3.735,42.249,5332.219,8660.166,450.818,1318.092,324.248,2494.848,225.41,40.34,1.656,,,,,,,,,,,,,,
MQ_109_leaves,MQ_1109_leaves,109.3,311.8,PILI,Waratah2011,2.4,PILI_155,PILI_00W,leaves,leaves,leaves,leaves,live,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,39.288,24.854,11500,2.889,30.195,9272.975,8274.115,219.536,1071.847,375.259,2241.612,142.712,44.83,1.536,,,,,,,,,,,,,,
MQ_110_leaves,,126.3,,PILI,Basin2005,7,PILI_001,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,226.487,52.009,6683.917,3.341,81.397,3545.809,13595.247,63.488,1671.74,473.708,2061.414,94.208,40.32,1.545,,,,,,,,,,,,,,
MQ_113_leaves,,303.2,,PUTU,Wilunga2012,1.4,PUTU_30A,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,59.662,17.521,12793.346,2.398,33.458,1568.063,3901.856,324.201,578.259,143.944,995.568,51.816,47.13,1.038,,,,,,,,,,,,,,
MQ_114_leaves,,708.2,,PUTU,Waratah2011,2.4,PUTU_154,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,38.179,15.544,5167.36,3.493,37.443,2644.643,3449.08,94.638,2164.278,184.041,1054.948,48.665,47.49,1.416,,,,,,,,,,,,,,
MQ_115_leaves,,408.6,,PUTU,Basin2005,7,PUTU_007,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,66.14,21.856,5545.451,3.202,44.937,1948.536,3829.307,152.048,1909.518,172.88,1193.847,39.691,47.97,1.197,,,,,,,,,,,,,,
MQ_116_leaves,,229.6,,PUTU,Waratah2003,9,PUTU_804,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,52.045,11.411,4402.857,3.432,60.771,1566.535,5094.818,20.28,1108.151,192.213,1093.421,38.443,47.14,1.38,,,,,,,,,,,,,,
MQ_117_leaves,,137.3,,PUTU,Basin1981,32,PUTU_903,,leaves,leaves,leaves,leaves,live,,use,2016_March,2016_March,40.832,18.602,6213.412,3.4,39.585,2424.24,4598.422,59.414,828.968,138.446,1215.31,29.787,47.73,0.9734,,,,,,,,,,,,,,
MQ_118_senescent leaves,,162.5,,PUTU,Waratah2003,9,PUTU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,107.909,43.62,6223.611,2.182,43.503,1138.635,4497.738,57.643,1688.623,27.13,998.02,53.075,46.86,0.864,,,,,,,,,,,,,,
MQ_119_senescent leaves,,222.8,,PUTU,Basin1981,32,PUTU,,senescent_leaves,senescent_leaves,leaves,leaves,dead,,use,2016_March,2016_March,61.562,20.179,4066.994,1.996,59.827,2560.414,4041.38,53.881,1933.764,35.776,977.463,24.252,46.86,0.864,dummy value for CN,,,,,,,,,,,,,
MQ_120_bark,,241.5,,BAER,Wilunga2012,1.4,BAER_30A,,bark,bark,bark,bark,live,,use,2016_March,2016_March,467.353,22.654,3237.262,1.616,32.657,3993.624,3056.174,20.277,1679.937,154.121,1613.535,28.615,46.28,0.3285,,,,,,,,,,,,,,
MQ_121_wood_from_base,,198.2,,BAER,Wilunga2012,1.4,BAER_303,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,109.484,13.175,854.047,2.634,45.804,2195.455,1581.661,20.987,1441.084,98.781,612.793,84.637,45.42,0.0735,,3.69;3.73,2.63,2.63;2.70,40,,,,,,,,,
MQ_122_wood_from_tip,,101.1,,BAER,Wilunga2012,1.4,BAER_303,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,100.797,14.823,660.456,4.17,21.881,2885.518,934.25,24.52,1281.328,115.963,704.264,23.664,45.18,0.2605,,2.02;2.06,1.52,1.52;1.56,60,,,,,,,,,
MQ_125_bark,,219,,BAER,Waratah2011,2.4,BAER_15A,,bark,bark,bark,bark,live,,use,2016_March,2016_March,163.295,15.105,2583.177,2.329,42.945,1558.551,1422.016,18.285,2671.071,73.143,1095.19,10.764,46.45,0.3682,,,,,,,,,,,,,,
MQ_128_wood_from_base,,599,,BAER,Waratah2011,2.4,BAER_154,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,36.32,10.747,516.919,3.634,59.401,646.438,549.728,18.176,781.273,25.223,283.273,47.949,45.17,0.0863,,6.84;6.54,5.31,5.31;5.36,29,1,,,,,,,,
MQ_129_wood_from_middle,,374.6,,BAER,Waratah2011,2.4,BAER_154,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,74.038,5.232,787.049,2.543,36.916,1169.119,574.373,58.97,961.611,32.475,449.951,10.158,44.21,0.0842,,4.31;4.65,3.62,3.62;4.02,35,2,,,,,,,,
MQ_130_wood_from_tip,MQ_1130_wood_from_tip,303.3,326.2,BAER,Waratah2011,2.4,BAER_15A,BAER_15W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,40.487,13.499,1001.458,9.314,25.174,1931.386,325.946,10.304,1387.757,63.356,518.447,12.546,46.61,0.5423,,"2.17;2.19,2.00;1.99",1.67,"1.67;1.69,1.47;1.50","89,89,91",,,,,,,,,
MQ_131_bark,,194.6,,BAER,Basin2005,7,BAER_00X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,243.418,25.438,3114.575,12.79,27.236,1621.729,1411.34,81.232,1098.381,87.768,1057.719,21.089,47.16,0.3577,,"3.13;3.11,3.16;3.41",2.49,"2.49;2.58,2.85,2.54",,,,,,,,2.4,,
MQ_132_shed_bark,,223.6,,BAER,Basin2005,7,BAER_00X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,240.439,16.811,5938.29,62.649,269.686,335.336,2048.048,41.277,146.721,35.053,739.225,242.081,52.47,0.5027,,,,,,,,,,,,,,
MQ_133_shed_sapwood,,161.2,,BAER,Basin2005,7,BAER_00X,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,15.129,12.509,751.884,1.126,47.727,62.459,806.699,11.396,61.253,1.653,221.118,74.564,44.82,0.1511,,,2.87,2.87;2.99,,,,,,,,,,
MQ_134_wood_from_base,,3702.1,,BAER,Basin2005,7,BAER_005,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,59.576,10.871,967.883,1.13,28.01,502.292,1090.052,9.202,1003.754,12.692,284.024,36.372,44.92,0.0768,,20.92;19.60,16.4,16.44;15.23,22,1,,,,,,,,
MQ_135_wood_from_middle,,960.8,,BAER,Basin2005,7,BAER_005,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,56.192,20.5,641.646,1.161,29.964,505.108,527.505,9.412,461.92,6.646,287.66,13.886,44.18,0.0821,,8.76;8.72,6.97,6.97;6.78,25,3,,,,,,,,
MQ_136_wood_from_tip,MQ_1136_wood_from_tip,152.7,404.9,BAER,Basin2005,7,BAER_00X,BAER_00W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,66.502,16.845,3279.217,12.514,32.51,2145.003,455.315,21.368,1337.241,118.068,670.722,20.382,47.06,0.5367,,".84;.81,2.19;2.16",0.73,".73;.68,1.58;1.59",141,,,,,,,,,
MQ_137_bark,,230.5,,BAER,Waratah2003,9,BAER_80X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,195.99,9.912,1860.763,2.126,67.352,1118.646,1683.278,17.158,1913.293,42.334,1239.796,8.004,46.52,0.4128,,,,,,,,,,,,,,
MQ_138_shed_bark,,199,,BAER,Waratah2003,9,BAER_80X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,197.156,20.673,2028.763,4.463,160.73,548.851,1279.058,13.977,618.024,12.605,1229.153,18.768,49.82,0.4863,,,,,,,,,,,,,,
MQ_139_shed_sapwood,,248.6,,BAER,Waratah2003,9,BAER_80X,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,126.386,9.066,905.261,8.939,95.196,234.85,910.931,11.669,436.319,2.589,441.583,9.014,43.68,0.1428,,,2.58,2.58;2.54,,,,,,,,,,
MQ_140_wood_from_base,,1649.7,,BAER,Waratah2003,9,BAER_805,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,177.994,5.048,1350.695,4.287,46.465,2891.334,1290.61,12.308,3494.623,35.169,964.604,111.621,45.18,0.0822,,18.36;17.28,12.4,12.43;13.25,14,,,,,,,,,
MQ_141_wood_from_middle,,242.2,,BAER,Waratah2003,9,BAER_805,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,212.651,13.115,2484.454,4.438,29.873,2628.001,1688.176,25.849,2345.926,64.531,1594.202,19.443,44.38,0.0763,,5.40;5.68,4.40,4.40;4.46,17,,,,,,,,,
MQ_142_wood_from_tip,,216.3,,BAER,Waratah2003,9,BAER_80X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,89.488,12.838,3507.15,17.748,39.905,2374.137,727.031,25.014,1378.964,135.463,1447.67,18.634,45.44,0.2238,,"1.79;1.72,1.59;1.53,1.28;1.34,1.57;1.47",1.30,"1.3;1.22,1.19;1.24,.96;.95,.97;1.00",,,,,,,,,,
MQ_143_bark,,184.1,,BAER,Basin1981,32,BAER_905,,bark,bark,bark,bark,live,,use,2016_March,2016_March,188.963,28.645,2599.944,2.202,34.442,3818.099,1970.747,56.737,1353.612,70.916,1537.438,19.382,47.12,0.3469,,,,,,,,,,,,,,
MQ_144_shed_bark,,217.9,,BAER,Basin1981,32,BAER_90X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,113.421,12.077,3232.389,3.653,83.928,1889.57,1133.386,40.909,987.858,21.205,1264.939,13.75,48.41,0.4762,,,,,,,,,,,,,,
MQ_145_shed_sapwood,,193.1,,BAER,Basin1981,32,BAER_90X,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,53.732,19.416,1206.177,0.929,26.596,1206.529,776.668,23.361,866.906,2.248,776.402,11.29,43.28,0.1347,,,2.61,2.61;2.61,41,,,,,,,,,
MQ_146_wood_from_base,,280.8,,BAER,Basin1981,32,BAER_905,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,65.683,5.128,443.854,1.26,274.315,744.142,867.067,5.915,925.926,15.357,692.063,10.826,45.83,0.0932,,28.59;28.42,20.4,20.47;19.40,11,,,,,,,,,
MQ_147_wood_from_middle,,365,,BAER,Basin1981,32,BAER_905,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,35.501,2.13,1021.047,2.071,30.668,2667.631,1763.058,17.662,2087.49,28.152,989.295,1.026,44.16,0.0867,,6.40;6.86,4.96,4.96;5.44,14,,,,,,,,,
MQ_148_wood_from_tip,,244.7,,BAER,Basin1981,32,BAER_90X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,29.223,24.509,450.806,9.188,21.062,1860.204,721.308,10.798,1206.992,89.932,665.409,3.209,44.07,0.2658,,"2.13;2.19,2.01;1.96",1.54,"1.54;1.49,1.44;1.40","130,136",,,,,,,,,
MQ_149_bark,,225.9,,BOLE,Wilunga2012,1.4,BOLE_30A,,bark,bark,bark,bark,live,,use,2016_March,2016_March,86.27,29.499,4782.493,3.535,77.97,5741.973,1711.628,73.903,760.04,92.892,914.012,20.3,43.61,0.4896,,,,,,,,,,,,,,
MQ_150_wood_from_base,,125.1,,BOLE,Wilunga2012,1.4,BOLE_306,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,insufficient_sample_for_CN,,2016_March,30.383,19.28,1109.162,2.411,16.884,2382.155,670.038,20.306,331.57,62.01,394.451,12.404,,,,2.64;2.71,2.37,2.37;2.40,34,,,,,,,,,
MQ_151_wood_from_tip,MQ_1151_wood_from_tip,119.7,284.6,BOLE,Wilunga2012,1.4,BOLE_306,BOLE_30W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,32.361,22.247,2425.264,1.702,21.707,1237.073,1710.618,40.312,317.775,48.292,385.105,4.306,46.38,0.5657,,1.90;1.96,1.70,1.70;1.60,48,,,,,,,,,
MQ_152_bark,MQ_1152_bark,109.6,440,BOLE,Wilunga2012,1.4,BOLE_313,BOLE_30V,bark,bark,bark,bark,live,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,140.391,16.191,3968.65,3.729,145.075,3125.025,1483.936,51.961,334.006,114.933,869.875,11.176,48.03,0.6555,,,,,,,,,,,,,,x
MQ_153_wood_from_base,,151.2,,BOLE,Wilunga2012,1.4,BOLE_313,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,24.391,16.766,1567.907,2.752,19.21,3062.422,745.029,26.027,340.306,75.294,498.965,30.945,45.32,0.1862,,3.23;3.04,2.53,2.53;2.59,33,,,,,,,,,
MQ_154_wood_from_tip,MQ_1154_wood_from_tip,123.9,466,BOLE,Wilunga2012,1.4,BOLE_313,BOLE_30V,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,19.549,36.951,3409.445,2.496,12.844,4657.06,2316.296,58.037,609.376,88.01,750.248,7.139,45.9,0.338,,1.66;1.69,1.38,1.38;1.30,85,,,,,,,,,
MQ_155_bark,MQ_1155_bark,116.2,337.7,BOLE,Wilunga2012,1.4,BOLE_307,BOLE_30W,bark,bark,bark,bark,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,220.217,38.222,5062.082,4.228,231.035,3643.693,3148.782,83.978,979.714,163.49,1126.34,37.615,46.76,1.388,,,,,,,,,,,,,,x
MQ_156_wood_from_base,,199.5,,BOLE,Wilunga2012,1.4,BOLE_307,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,24.4,19.133,839.384,3.004,19.294,1848.531,656.074,18.558,463.845,68.575,657.238,29.378,45.82,0.1925,,3.09;2.90,2.62,2.62;2.83,41,,,,,,,,,
MQ_157_wood_from_tip,,212.6,,BOLE,Wilunga2012,1.4,BOLE_307,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,12.324,12.484,3397.962,1.824,19.362,3201.686,3011.34,82.275,1014.953,91.164,688.404,2.475,44.93,0.1142,,2.29;2.52,2.29,2.29;2.13,57,,,,,,,,,
MQ_160_bark,MQ_1160_bark,105.6,315.5,BOLE,Waratah2011,2.4,BOLE_155,BOLE_15W,bark,bark,bark,bark,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,195.509,25.497,4341.99,5.396,169.932,3373.733,3364.861,50.7,292.893,84.621,829.452,35.717,47,0.939,,,,,,,,,,,,,,
MQ_161_wood_from_base,,396.6,,BOLE,Waratah2011,2.4,BOLE_155,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,22.946,31.801,1050.02,1.899,19.606,1583.259,846.315,15.875,203.299,18.83,388.576,28.366,45.3,0.1438,,3.29;3.77,2.77,2.77;3.01,45,,,,,,,,,
MQ_162_wood_from_middle,,128.8,,BOLE,Waratah2011,2.4,BOLE_155,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,insufficient_sample_for_CN,,2016_March,18.841,54.065,4779.429,2.694,33.761,9356.463,4846.777,103.026,1318.973,170.643,762.626,18.355,,,,2.05;1.93,1.77,1.77;1.58,56,,,,,,,,,
MQ_163_wood_from_tip,,163.5,,BOLE,Waratah2011,2.4,BOLE_15X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,21.522,11.676,1015.324,3.578,26.378,1967.664,918.385,24.152,608.667,60.016,483.296,19.043,44.81,0.2934,,"1.28;1.16,1.07;1.13,1.02;.98,1.01;.97",0.98,".98;.90,.93;.86,.75;.75,.79;.77",,,,,,,,,,
MQ_164_bark,MQ_1164_bark,112.5,529.7,BOLE,Waratah2011,2.4,BOLE_156,BOLE_00V,bark,bark,bark,bark,live,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,215.911,28.413,4303.14,4.771,288.117,2169.046,1632.79,48.522,448.83,82.071,706.497,35.73,47.08,0.6478,,,,,,,,,,,,,,x
MQ_165_wood_from_base,,206.3,,BOLE,Waratah2011,2.4,BOLE_156,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,4.47,7.702,1030.351,1.998,6.695,1518.182,916.852,15.909,256.766,68.12,364.958,8.22,44.83,0.1386,,3.22;3.08,2.74,2.74;2.58,44,,,,,,,,,
MQ_166_wood_from_middle,,122,,BOLE,Waratah2011,2.4,BOLE_156,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,insufficient_sample_for_CN,,2016_March,22.888,17.535,2392.527,2.959,16.009,1923.778,1190.067,44.177,755.957,54.357,555.074,24.536,,,,1.53;1.48,1.22,1.22;1.30,108,,,,,,,,,
MQ_167_wood_from_tip,,181.3,,BOLE,Waratah2011,2.4,BOLE_156,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,25.412,11.171,1694.135,5.82,19.168,3549.774,1072.3,24.445,1132.133,85.379,616.51,35.893,43.86,0.2753,,"1.28;1.16,1.07;1.13,1.02;.98,1.01;.97",0.98,".98;.90,.93;.86,.75;.75,.79;.77",,,,,,,,,using site average for diameter,
MQ_168_bark,,239,,BOLE,Waratah2011,2.4,BOLE_15X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,73.565,15.549,3755.443,7.691,92.286,3709.986,2069.738,59.289,792.485,124.987,770.377,27.799,44.64,0.4938,,,,,,,,,,,,,,x
MQ_169_wood_from_base,,410.3,,BOLE,Waratah2011,2.4,BOLE_157,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,8.876,7.221,959.853,1.718,16.483,1412.51,757.054,24.727,69.092,32.795,276.012,20.271,45.39,0.1408,,4.50;4.53,3.89,3.89;4.01,35,,,,,,,,,
MQ_170_wood_from_middle,,249.3,,BOLE,Waratah2011,2.4,BOLE_157,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,9.898,16.753,1103.005,1.988,5.837,1831.686,910.041,30.136,150.376,52.825,315.638,20.861,44.66,0.1803,,2.37;2.19,2.16,2.16;1.90,72,,,,,,,,,
MQ_171_wood_from_tip,,163.8,,BOLE,Waratah2011,2.4,BOLE_157,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,28.153,13.762,1781.736,3.41,16.692,2779.464,972.769,30.172,1645.556,84.971,578.6,29.55,44.58,0.2539,,"1.28;1.16,1.07;1.13,1.02;.98,1.01;.97",0.98,".98;.90,.93;.86,.75;.75,.79;.77",,,,,,,,,using site average for diameter,
MQ_172_shed_bark,,177,,BOLE,Waratah2011,2.4,BOLE_15X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,118.503,18.792,6007.129,7.045,197.787,765.779,2841.357,95.685,598.243,66.806,1108.874,23.132,44.86,0.4135,,,,,,,,,,,,,"there should be a shed branch from BOLE 154, BOLE 157",
MQ_173_shed_bark,,139.1,,BOLE,Waratah2011,2.4,BOLE_15Y,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,130.322,27.136,5128.175,5.322,184.922,1798.758,2914.25,99.164,1076.266,66.696,1100.179,67.377,44.41,0.3867,,,,,,,,,,,,,"there should be a shed branch from BOLE 154, BOLE 157",x
MQ_174_shed_sapwood,,262.2,,BOLE,Waratah2011,2.4,BOLE_15X,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,13.474,8.915,880.179,1.704,43.886,248.593,715.172,23.756,240.777,8.186,420.897,9.895,45.48,0.2009,,,1.30,1.3;.98;.89;.81;.74;.74,,,,,,,,,,
MQ_175_shed_sapwood,,129.9,,BOLE,Waratah2011,2.4,BOLE_15Y,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,32.399,30.025,1261.909,2.644,18.491,1133.573,1175.399,30.588,634.103,7.802,577.833,46.799,45.82,0.2063,,,0.95,.95;.83,303,,,,,,,,,x
MQ_176_bark,,226.6,,BOLE,Basin2005,7,BOLE_00X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,83.289,38.32,4197.64,5.041,85.356,1778.661,1831.229,35.889,575.583,50.423,926.826,25.979,44.44,0.492,,,,,,,,,,,,,,
MQ_177_shed_bark,MQ_1177_shed_bark,115.8,232.8,BOLE,Basin2005,7,BOLE_003,BOLE_00V,shed_bark,shed_bark,bark,bark,dead,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,117.043,35.39,4553.906,4.509,171.803,1568.661,1733.961,45.872,724.566,34.61,1019.825,30.998,44.78,0.6348,,,,,,,,,,,,,,
MQ_178_shed_sapwood,MQ_1178_shed_sapwood,113.5,226.2,BOLE,Basin2005,7,BOLE_003,BOLE_00V,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,22.505,2.267,1618.833,1.577,31.032,612.297,606.605,20.912,389.19,8.245,598.246,4.211,43.25,0.3449,,,1.33,"1.33;1.16,.85;.86","99,64",,,,,,,,,
MQ_179_wood_from_base,,445.4,,BOLE,Basin2005,7,BOLE_003,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,31.793,8.597,1794.456,1.8,7.572,1662.212,835.149,47.712,786.251,36.427,637.757,31.627,45.78,0.0288,,4.32;4.73,3.79,3.79;3.51,41,base 1,,,,,,,,
MQ_180_wood_from_middle,,147.7,,BOLE,Basin2005,7,BOLE_003,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,31.774,8.707,2260.204,2.13,19.982,2483.439,1126.562,64.131,782.792,38.907,768.534,18.453,44.31,0.1763,,1.51;1.58,1.46,1.46;1.30,96,base 2,,,,,,,,
